St. Jude Medical. File Revision : 5.0.2
Export Data Element : EnGuideShadows
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000


Text
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible
EnGuide ID
Number of Electrodes
R,G,B: EnGuide color values
sR,sG,sB: Shadow color values
Diameter
Electrode Len
Distal Len
Fit Status

Name,Display,Visibility,ID,num,R,G,B,sR,sG,sB,Diameter,eL,dL,Fs,
CS,0,1,51,10,0,0.75,1,0,0.75,1,2.000,2.000,4.000,GOOD_FIT,
QUAD,0,1,62,4,0,1,0,0,1,0,2.000,2.000,4.000,GOOD_FIT,
CS,0,1,51,10,0,0.75,1,0,0.75,1,2.000,2.000,4.000,GOOD_FIT,
A - EPOCH 1 RA,0,1,54,8,1,0,0.15,1,0,0.15,0.667,2.000,4.000,GOOD_FIT,
B,0,1,55,8,1,0.5,0.5,1,0.5,0.5,0.667,2.000,4.000,GOOD_FIT,
C,0,1,56,8,1,0.5,0,1,0.5,0,0.667,2.000,4.000,GOOD_FIT,
D,0,1,57,8,1,1,0,1,1,0,0.667,2.000,4.000,GOOD_FIT,
E,0,1,58,8,0.3,0.6,0.1,0.3,0.6,0.1,0.667,2.000,4.000,GOOD_FIT,
F,0,1,59,8,0,1,0.75,0,1,0.75,0.667,2.000,4.000,GOOD_FIT,
G,0,1,60,8,0,0.75,1,0,0.75,1,0.667,2.000,4.000,GOOD_FIT,
H,0,1,61,8,0.55,0.65,1,0.55,0.65,1,0.667,2.000,4.000,GOOD_FIT,
CS,0,1,51,10,0,0.75,1,0,0.75,1,2.000,2.000,4.000,GOOD_FIT,
CS,0,1,51,10,0,0.75,1,0,0.75,1,2.000,2.000,4.000,GOOD_FIT,
CS,0,1,51,10,0,0.75,1,0,0.75,1,2.000,2.000,4.000,GOOD_FIT,
A - EPOCH 2 RA,0,1,54,8,1,0,0.15,1,0,0.15,0.667,2.000,4.000,GOOD_FIT,
B,0,1,55,8,1,0.5,0.5,1,0.5,0.5,0.667,2.000,4.000,GOOD_FIT,
C,0,1,56,8,1,0.5,0,1,0.5,0,0.667,2.000,4.000,GOOD_FIT,
D,0,1,57,8,1,1,0,1,1,0,0.667,2.000,4.000,GOOD_FIT,
E,0,1,58,8,0.3,0.6,0.1,0.3,0.6,0.1,0.667,2.000,4.000,GOOD_FIT,
F,0,1,59,8,0,1,0.75,0,1,0.75,0.667,2.000,4.000,GOOD_FIT,
G,0,1,60,8,0,0.75,1,0,0.75,1,0.667,2.000,4.000,GOOD_FIT,
H,0,1,61,8,0.55,0.65,1,0.55,0.65,1,0.667,2.000,4.000,GOOD_FIT,
CS,0,1,51,10,0,0.75,1,0,0.75,1,2.000,2.000,4.000,GOOD_FIT,
A - EPOCH 3 RA,0,1,54,8,1,0,0.15,1,0,0.15,0.667,2.000,4.000,GOOD_FIT,
B,0,1,55,8,1,0.5,0.5,1,0.5,0.5,0.667,2.000,4.000,GOOD_FIT,
C,0,1,56,8,1,0.5,0,1,0.5,0,0.667,2.000,4.000,GOOD_FIT,
D,0,1,57,8,1,1,0,1,1,0,0.667,2.000,4.000,GOOD_FIT,
E,0,1,58,8,0.3,0.6,0.1,0.3,0.6,0.1,0.667,2.000,4.000,GOOD_FIT,
F,0,1,59,8,0,1,0.75,0,1,0.75,0.667,2.000,4.000,GOOD_FIT,
G,0,1,60,8,0,0.75,1,0,0.75,1,0.667,2.000,4.000,GOOD_FIT,
H,0,1,61,8,0.55,0.65,1,0.55,0.65,1,0.667,2.000,4.000,GOOD_FIT,
QUAD,0,1,62,4,0,1,0,0,1,0,2.000,2.000,4.000,GOOD_FIT,
ABL,0,1,53,4,1,1,1,1,1,1,2.333,2.000,4.000,GOOD_FIT,
A - EPOCH 4 LA,0,1,54,8,1,0,0.15,1,0,0.15,0.667,2.000,4.000,GOOD_FIT,
B,0,1,55,8,1,0.5,0.5,1,0.5,0.5,0.667,2.000,4.000,GOOD_FIT,
C,0,1,56,8,1,0.5,0,1,0.5,0,0.667,2.000,4.000,GOOD_FIT,
